Concat,UUID1,Score1,UUID2,Score2,UUID3,Score3
Boreal FI232 Northern Ave E School,e5e6b9ca-6949-4d8c-b878-23268ef28827,0,307b53c1-7b36-4874-854a-1097b6cc5cfb,15,9ce40965-825b-4e88-8a18-51e0a9f97b2f,16
Goderich District CI & Goderich District CI Elementary260 South St School,312e383d-ccff-4641-9480-19becd2e4aad,0,953f678e-ed93-4eda-b03f-f3f69928d591,42,567a5664-e404-459b-9d57-90cdd55e09e0,42
Blessed Sacrament185 King Street West School,561b206a-b27c-4a7e-84f5-60065932d15f,0,b21def56-2d3b-4bcb-9891-5af93359b1eb,11,5016342a-1a61-4a35-b024-87c3188b0107,17
St Frances Cabrini373 Northern Avenue School,e96e6130-c685-429f-8ddf-2514d37bd875,0,e5e6b9ca-6949-4d8c-b878-23268ef28827,20,9ce40965-825b-4e88-8a18-51e0a9f97b2f,20
St Stephen's17 Brant St W School,ad0c9656-edaa-4901-a30a-ddfdcf2a0c45,0,0f46ceb1-d7ee-4744-b2ec-13d8dc04b017,15,f804a9ea-243e-474f-9abb-0ca5c23be4cb,15
St Theresa12 Dalewood Avenue School,41833640-9809-4c08-bb9e-c5c338b83e95,0,324e2372-1323-4bb2-86f7-40a29e89a94c,10,e7c4699f-2b9c-4f4e-b4cf-6a7d0d5b9ec7,13
Jonathan-Pitre925  Ralph Hennessy Ave School,d414df79-aed2-45e0-b3bd-cb2c721536e8,0,24fe8567-f9ad-414d-9767-9ef886c5ac8c,24,69d22ba8-b714-4ac2-b83c-b4a7034a510f,24
École255 Coronation Drive School,d5e2a17d-9863-42de-86de-fc2b5250d518,0,fb162af2-b392-4446-ad41-899df0c2e65e,15,cb77b0d4-cd57-40d5-be8f-0f5031e78f92,15
"École élémentaire Charles-Sauriol55, avenue Pelham School",863b56fb-df63-4e2d-8a58-bdd8a05834b5,0,6b5e8150-fb9b-4725-863e-09233cd9d7b7,23,6dbcff94-21e2-4d22-9080-3129a0932432,23
École élémentaire du Chêne150 Ridge Dr. School,4f403796-7ced-41d2-b4ba-33cd26d1fd60,0,f7225b7b-7c0f-413d-902a-9e0948010685,17,62200146-0738-4802-a77e-e92c1631e12a,19
École élémentaire Laure-Rièse339 Alton Towers Circle School,8995045c-4516-4f6e-b894-75cc406770fe,0,b2faf277-843c-460b-9968-56123b8e8b7e,26,c71b93e2-6d6d-4ec0-ad3a-1d9572c5addc,26
"École élémentaire Le Flambeau600, Novo star  Drive School",dcfd40ed-5239-4477-ab35-2e96dfa598b2,0,f7f556a5-50e0-436c-8286-8ef1d8aeca9a,20,750ca150-d33c-41a4-9f31-5fe2e86fd326,22
École élémentaire Louise-Charron2520 Cabana Rd W School,86534911-87c7-4272-acda-8f4274a392a8,0,f7225b7b-7c0f-413d-902a-9e0948010685,22,4f403796-7ced-41d2-b4ba-33cd26d1fd60,23
"Académie de la Tamise1260, rue Dundas est School",f9a14195-e8dd-4a69-8696-46a7f5e4d1af,0,1f5d2076-22b6-40c4-997c-869d6b49b8af,18,bdceade8-2eaf-4aec-8049-74d59d16e65c,24
École élémentaire Bayview Nord44  Appian  Rd Other,3a1eae1e-41e5-4b09-b739-50b3fd9a0917,0,f7225b7b-7c0f-413d-902a-9e0948010685,24,6b5e8150-fb9b-4725-863e-09233cd9d7b7,26
"École élémentaire Champlain101, avenue Afton Other",6b5e8150-fb9b-4725-863e-09233cd9d7b7,0,863b56fb-df63-4e2d-8a58-bdd8a05834b5,23,62200146-0738-4802-a77e-e92c1631e12a,25
École élémentaire La Pommeraie3500  Settlement  TRAIL School,cf6d296b-5bf9-4fed-8220-4052e7e2395c,0,f7f556a5-50e0-436c-8286-8ef1d8aeca9a,24,c71b93e2-6d6d-4ec0-ad3a-1d9572c5addc,25
"École élémentaire Mathieu-Da-Costa116, Cornelius Parkway School",35c33994-d319-48f5-9358-3fd17029c083,0,0ad787e3-0321-487b-926a-ca4e856ad518,27,ce281042-4f24-4227-8179-f2f59034caef,27
"École élémentaire Micheline-Saint-Cyr85, rue Forty first School",58e425e8-97fa-44e3-832c-e697a0e642e9,0,ce281042-4f24-4227-8179-f2f59034caef,27,0ad787e3-0321-487b-926a-ca4e856ad518,29
École secondaire Franco-Jeunesse901 Rapides parkway School,241300b2-39d6-4a2f-9178-80ddd2864279,0,729b8c8b-51ad-4aa1-84a2-72a603c2e298,25,0b6e481c-14ec-45e6-b26c-8aaa73c3a79b,27
"École secondaire Gabriel-Dumont2463, boulevard Evans School",c210ef5d-9fcc-41e0-b0bf-2098ec118644,0,a022ed6c-eb72-4838-8284-fa1badbc0033,27,0b6e481c-14ec-45e6-b26c-8aaa73c3a79b,29
"École secondaire Gaétan-Gervais1075, McCraney East St. School",31fb915c-0c45-47b9-b90c-90b15d21a44d,0,0b6e481c-14ec-45e6-b26c-8aaa73c3a79b,26,4ee8a6b8-9780-4469-8725-6a069b9c2ae2,29
École secondaire Norval-Morrisseau51 Wright St School,0b6e481c-14ec-45e6-b26c-8aaa73c3a79b,0,a022ed6c-eb72-4838-8284-fa1badbc0033,25,5638bf5f-b97a-450b-94df-ff2c3f574715,25
École Ronald-Marion2265 Brock road School,d7e4f46e-f098-461e-b745-cc8a4289d057,0,9c4e6fd5-bd9d-47dd-8c5d-a6b255319189,19,c00c6a28-46c7-4cf7-9f6d-7cf8eb4d7997,22
École secondaire Lamothe-Cadillac1775 Totten Street School,0c0c4f80-8fe9-4b05-a65d-d58b5a40916a,0,a022ed6c-eb72-4838-8284-fa1badbc0033,20,5638bf5f-b97a-450b-94df-ff2c3f574715,27
École secondaire Toronto Est24 Mountjoy  Ave Other,cb9ce19c-3e66-44e1-a65c-3dd7bdeddfc8,0,729b8c8b-51ad-4aa1-84a2-72a603c2e298,26,a022ed6c-eb72-4838-8284-fa1badbc0033,27
"École secondaire Toronto Ouest330, avenue Lansdowne School",729b8c8b-51ad-4aa1-84a2-72a603c2e298,0,241300b2-39d6-4a2f-9178-80ddd2864279,25,4ee8a6b8-9780-4469-8725-6a069b9c2ae2,25
College Street PS - sold 12Aug21132 College St School,da35c437-21bc-4af7-a76a-4416b3250a00,0,0519634d-4e23-4639-8f7a-5f532f923d3c,26,75e8c9f0-41ff-4b0f-a8a9-e7a247be43be,26
Ridgeway-Crystal Beach HS - Sold 09Aug21576  Ridge Rd School,2e3a0f09-afb1-4b22-9ced-f0f600602094,0,da35c437-21bc-4af7-a76a-4416b3250a00,33,8850ad16-48a3-4e76-870c-069ac8d18673,36
St. Evan Catholic ES500 Dougall Ave School,644398e5-0a6a-4ecf-9dab-88c65d641261,0,0c819845-dde0-4349-91f3-cc931bf05c56,15,273364ae-0b20-4062-b57e-9bb7ace6e55f,17
Epsom P.S. (SOLD Nov 2020)16051 Marsh Hill Road School,6898b181-c2e8-43d6-ba53-b4e1901c45fb,0,be6e8ed3-631e-4ecc-914d-680c38c591f7,32,ba9abc26-decf-4cc3-8806-e86ea38a6b1a,32
Willows Walk P.S. (Possession July 1/2151 Lazio Street School,4fc49502-9ac0-4e8a-8981-9d7caf322df6,0,c271c549-4ebf-472e-84b0-9d62697bbfc0,32,30a4fdc6-261b-427a-9f13-f1883c7e91cb,33
"Rosemary Brown P.S. (Possession July 1, 2021270 Williamson Dr. School",fbcbd637-6fef-49c5-b9e3-793f8fb24032,0,4fc49502-9ac0-4e8a-8981-9d7caf322df6,33,ecff706f-a497-4a79-af60-b1a6a132a9d2,40
Adult Learning Centre255  Morden Road School,747dd572-c031-4646-8069-f57e13c0ccfe,0,24d95d80-75c9-4f01-a275-e581f822b01c,20,5c712268-a57e-4c35-aff0-d89979588752,20
Ascension5205 New Street School,eb6db4be-3d81-4b3f-8f17-d437174ce515,0,87f17b84-61de-495d-b096-5746e342d2ac,13,553f438a-057a-4a9f-87d9-647e07062f78,13
Assumption3230 Woordward Avenue School,eb925cd3-22cc-4861-bac6-bbfb45580794,0,de6afb24-56cf-4886-9751-f7ce5b3afda1,14,370fb1ac-fe8d-4e17-bdbc-473e450df6a3,16
Bishop P.F. Reding1120 Main Street East School,6ee153c3-a98c-448b-a2f3-ec85b0ae80c2,0,561b206a-b27c-4a7e-84f5-60065932d15f,22,8f01e5c9-7479-4f7c-a2b3-f04c57be8d0c,22
Canadian Martyrs3201 Lansdown Drive School,680a51ab-416c-4969-9e2a-6ea6587b863c,0,2a98c5bd-4261-42f7-b722-f607d5bc2703,14,8d338e35-4eb9-4d0d-b263-9e75179f604e,17
Christ the King161 Guelph Street School,0d4e8562-2f45-403b-a8d1-f6d03d4b4cfa,0,3b1272ab-fc9f-4752-b684-55f096b57653,13,f6485dde-4ccf-4eb1-8eae-a1b2568f0109,18
Corpus Christi5150 Upper Middle Road School,c297ae97-fb2c-41d0-aedd-244f7d48d156,0,9e0a3c01-df84-4fac-9133-5108dc82cfd6,15,6521032b-05dd-448f-9108-0ab4021e3e45,17
Holy Rosary (Burlington)261 Plains Road East School,a2c39cb7-ddd9-4eb9-ae51-87eca72007d2,0,580c6f65-55a9-441d-a2cb-e64384a4de87,21,4d2a4e0b-dc81-49d1-b580-ebf1112e9922,26
Holy Rosary (Milton)141 Martin Street School,580c6f65-55a9-441d-a2cb-e64384a4de87,0,4da6ad33-49ea-4349-ba35-9a1d48c18cdb,15,bcc42b40-8024-46df-bf70-b6df81e15166,18
Holy Trinity2420 Sixth Line School,1b3df9b8-ae6d-44e9-a7f0-53d45dc51ccb,0,d6814318-ac0a-4fb5-8362-7f26a0bca415,14,4776b26e-a56d-4a1c-a89c-3920ecbacb99,15
Our Lady of Peace391 River Glen Blvd School,8835fd64-17d9-445a-8d74-73b416e82f6b,0,4a15f2bb-87b7-4f0e-9ff5-d8ddfabc84e2,15,87ae29db-e3b9-4af9-8c77-faa9b89e7bc0,17
Our Lady of Victory540 Commercial Street School,6e48aea8-373d-4894-9911-47ca0fe9f620,0,36438897-a5f7-4484-b632-78b04af464fb,15,a8841717-305d-4009-8721-ca5159eeb17c,20
Queen of Heaven311 Savoline Blvd School,28936374-f4cd-4375-bf80-1eaad27ff0ea,0,8b307149-5f15-430d-8095-7c5845035ba1,17,b4924f5a-3c21-4c7f-aee1-439c84ed0e0e,18
St. Anthony of Padua1240 Tupper Drive School,a1519606-7c67-4327-be0d-7a0727f33e07,0,fbcb59c4-f4cf-4475-8fc9-31a4f5702b48,19,9db420d1-6dfe-4019-8cf8-da9630e79c23,20
St. Benedict80 McLaughlin Ave. School,dda7348a-0c19-46af-9c1f-134e7b0a2d93,0,2c7ed2e7-f2c2-42b5-be30-75bc6e4cfdff,17,13b64adf-9b58-4a47-b9b0-34a6a802e02e,17
St. Bernadette1201 Heritage Way School,e8eaac11-292c-4cda-9dd9-191fc4c3235c,0,824eaeaa-0560-4f7a-85eb-4ddf26f43fcb,12,5ee9b991-f8bf-4d2d-9b1d-a686507f0eb9,13
St. Dominic2405 Rebecca Street School,17a795b6-3cfb-4d9a-b879-c3b278ce2f4b,0,1fd7c81c-5333-42e9-8817-0d9980ee7f18,14,8f01e5c9-7479-4f7c-a2b3-f04c57be8d0c,15
St. Elizabeth Seton5070 Dryden School,8c0df3d8-61f3-48d8-b91b-aad2fcbf5a92,0,7cd36216-de82-4c98-9f90-776bfdf29fda,16,8dcecc4c-c855-4fa7-a372-2fd7a4a4cf84,16
St. Francis of Assisi120 Sinclair Avenue School,6a6a12df-61db-4af9-9c39-15db007e788b,0,86671b82-8904-409e-a568-895a02325da0,14,e894f21b-3fae-4d39-8831-89c7187ddeb1,18
St. Ignatius of Loyola1550 Nottinghill Gate School,8a5c6212-b951-45b5-9683-97d649245cb8,0,2c70a330-4a3a-49ed-af2e-a3ba547fbbfb,17,b8442531-224c-4c25-ae3e-40589489855c,26
St. Joan of Arc2912 Westoak Trails School,9884d072-d4f2-4768-b41b-05829a186dec,0,2936a368-3643-46ef-882f-8a925da40d06,17,47693281-06cb-4682-9447-9e0b7bdbf30f,18
