UUID,Concat,Concat_Tokenized
043e7b01-4c08-4bde-ad15-7e3eea33ccc9,Ben R McMullin PS24 Paradise Ave School,"[""Ben"", ""R"", ""McMullin"", ""PS"", ""24"", ""Paradise"", ""Ave"", ""School""]"
2beec0a1-1f8b-4d82-9fbf-023777fb446f,Blind River PS19 Hanes Ave School,"[""Blind"", ""River"", ""PS"", ""19"", ""Hanes"", ""Ave"", ""School""]"
8c3b99ee-cc1f-44fd-acbe-615681ea9e11,Central Algoma SS32 Kensington Rd School,"[""Central"", ""Algoma"", ""SS"", ""32"", ""Kensington"", ""Rd"", ""School""]"
e5e6b9ca-6949-4d8c-b878-23268ef28827,Boreal FI232 Northern Ave E School,"[""Boreal"", ""FI"", ""232"", ""Northern"", ""Ave"", ""E"", ""School""]"
8365f00d-4a31-4a9b-bc21-2b23fde857bc,Anna McCrea PS250 Mark St School,"[""Anna"", ""McCrea"", ""PS"", ""250"", ""Mark"", ""St"", ""School""]"
ec422985-a6df-4147-8bba-5e04ca214815,Arthur Henderson PS2 Henderson Lane School,"[""Arthur"", ""Henderson"", ""PS"", ""2"", ""Henderson"", ""Lane"", ""School""]"
63c0f6e1-28f5-4467-863e-60859b022b64,Central Avenue PS81 Central Ave School,"[""Central"", ""Avenue"", ""PS"", ""81"", ""Central"", ""Ave"", ""School""]"
972e6274-0282-41dd-89c3-2d131ca70e1f,Central Plant Office - CLOSED190 Northern Ave. E. Administrative offices and related facilities,"[""Central"", ""Plant"", ""Office"", ""-"", ""CLOSED"", ""190"", ""Northern"", ""Ave."", ""E."", ""Administrative"", ""offices"", ""and"", ""related"", ""facilities""]"
7a228541-6f58-4e91-885d-0523ee22590b,Chapleau Secondary School & Track Field Facility20 Teak Street School,"[""Chapleau"", ""Secondary"", ""School"", ""&"", ""Track"", ""Field"", ""Facility"", ""20"", ""Teak"", ""Street"", ""School""]"
1b73bb7d-bb82-4aae-884c-2134f26077e2,Francis H Clergue PS80 Weldon Ave School,"[""Francis"", ""H"", ""Clergue"", ""PS"", ""80"", ""Weldon"", ""Ave"", ""School""]"
f937a367-4c90-4271-be71-cac6380830b0,Grandview PS161 Denwood Dr School,"[""Grandview"", ""PS"", ""161"", ""Denwood"", ""Dr"", ""School""]"
48102c91-43ad-4224-9038-92550b7846e2,Greenwood PS8 Fourth Line W School,"[""Greenwood"", ""PS"", ""8"", ""Fourth"", ""Line"", ""W"", ""School""]"
cde0f0e7-eb05-46a5-b951-af084e424cc1,Parkland PS54 Amber St School,"[""Parkland"", ""PS"", ""54"", ""Amber"", ""St"", ""School""]"
b603a2a1-fa40-4e48-a2a8-91129f2c6eda,Pinewood PS3924 Queen St E School,"[""Pinewood"", ""PS"", ""3924"", ""Queen"", ""St"", ""E"", ""School""]"
9ce40965-825b-4e88-8a18-51e0a9f97b2f,Prince Charles PS550 Northern Ave E School,"[""Prince"", ""Charles"", ""PS"", ""550"", ""Northern"", ""Ave"", ""E"", ""School""]"
547c6a9d-e775-4d7a-ba64-865fadc39cc2,Thessalon PS90 Stanley Street School,"[""Thessalon"", ""PS"", ""90"", ""Stanley"", ""Street"", ""School""]"
7a272f56-ad0d-472c-b951-2eafed2e4e61,Thessalon PS Annex (Federation St)266 Federation St. School,"[""Thessalon"", ""PS"", ""Annex"", """", ""Federation"", ""St"", """", ""266"", ""Federation"", ""St."", ""School""]"
11ff56f8-3f4a-4928-a067-3ecf2902f04a,W C Eaket SS147 Woodward Ave School,"[""W"", ""C"", ""Eaket"", ""SS"", ""147"", ""Woodward"", ""Ave"", ""School""]"
c21de3a6-93cd-4179-82f2-f8e411d10788,H M Robbins PS83 East Balfour St School,"[""H"", ""M"", ""Robbins"", ""PS"", ""83"", ""East"", ""Balfour"", ""St"", ""School""]"
f2b8ae51-8d03-43fe-8670-71467a5e78ab,Hornepayne Jk-12 School (Elementary & Secondary)162 Fourth Avenue School,"[""Hornepayne"", ""Jk-"", ""12"", ""School"", """", ""Elementary"", ""&"", ""Secondary"", """", ""162"", ""Fourth"", ""Avenue"", ""School""]"
ff70962c-c815-46d2-a678-7fcff8bd5e2c,Isabel Fletcher PS599 Third Line W School,"[""Isabel"", ""Fletcher"", ""PS"", ""599"", ""Third"", ""Line"", ""W"", ""School""]"
d453b81d-f40a-43a6-8bc2-a2c40be9f2e0,Queen Elizabeth PS139 Elizabeth St School,"[""Queen"", ""Elizabeth"", ""PS"", ""139"", ""Elizabeth"", ""St"", ""School""]"
ff862f0a-0fb5-4c47-a420-c01a401dc9fe,R M Moore PS1272 Base Line School,"[""R"", ""M"", ""Moore"", ""PS"", ""1272"", ""Base"", ""Line"", ""School""]"
7265c6cc-e8c6-4f3e-b308-907c5d8bb1fa,River View PS51 Wireless Ave School,"[""River"", ""View"", ""PS"", ""51"", ""Wireless"", ""Ave"", ""School""]"
bda90da4-5a20-4859-801f-2acf3259a240,White Pines C & VS & Intermediate School1007 Trunk Rd School,"[""White"", ""Pines"", ""C"", ""&"", ""VS"", ""&"", ""Intermediate"", ""School"", ""1007"", ""Trunk"", ""Rd"", ""School""]"
8e517702-2c65-46fa-a0ab-f90010d08377,East View PS75 Arizona Ave School,"[""East"", ""View"", ""PS"", ""75"", ""Arizona"", ""Ave"", ""School""]"
